

New start of logging. Datetime: 2022.10.01_112457 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
172;'10/01/2022 11:27:38;'052815011022;FIX;OK;68,0333633;43,14907;170,5;0,00;0,0
173;'10/01/2022 11:27:39;'052816011022;FIX;OK;68,0333633;43,14907;170,6;0,00;0,0
174;'10/01/2022 11:27:40;'052817011022;FIX;OK;68,0333633;43,14907;170,7;0,00;0,0
175;'10/01/2022 11:27:41;'052818011022;FIX;OK;68,0333633;43,14907;170,8;0,00;0,0
176;'10/01/2022 11:27:42;'052819011022;FIX;OK;68,0333633;43,14907;170,8;0,00;0,0
177;'10/01/2022 11:27:43;'052820011022;FIX;OK;68,0333633;43,14907;170,9;0,00;0,0
178;'10/01/2022 11:27:44;'052821011022;FIX;OK;68,0333633;43,14907;171,0;0,00;0,0
179;'10/01/2022 11:27:44;'052822011022;FIX;OK;68,0333633;43,14907;171,0;0,00;0,0
180;'10/01/2022 11:27:45;'052823011022;FIX;OK;68,0333633;43,14907;171,1;0,00;0,0
181;'10/01/2022 11:27:46;'052824011022;FIX;OK;68,0333633;43,14907;171,2;0,00;0,0
182;'10/01/2022 11:27:47;'052825011022;FIX;OK;68,0333633;43,14907;171,2;0,00;0,0
183;'10/01/2022 11:27:48;'052826011022;FIX;OK;68,0333633;43,14907;171,3;0,00;0,0
184;'10/01/2022 11:27:49;'052827011022;FIX;OK;68,0333633;43,14907;171,3;0,00;0,0
185;'10/01/2022 11:27:50;'052828011022;FIX;OK;68,0333633;43,14907;171,4;0,00;0,0
186;'10/01/2022 11:27:51;'052829011022;FIX;OK;68,0333633;43,14907;171,5;0,00;0,0
187;'10/01/2022 11:27:52;'052830011022;FIX;OK;68,0333633;43,14907;171,5;0,00;0,0
188;'10/01/2022 11:27:53;'052831011022;FIX;OK;68,0333633;43,14907;171,6;0,00;0,0
189;'10/01/2022 11:27:54;'052832011022;FIX;OK;68,0333633;43,14907;171,6;0,00;0,0
190;'10/01/2022 11:27:55;'052833011022;FIX;OK;68,0333633;43,14907;171,7;0,00;0,0
191;'10/01/2022 11:27:56;'052834011022;FIX;OK;68,0333633;43,14907;171,7;0,00;0,0
192;'10/01/2022 11:27:57;'052835011022;FIX;OK;68,0333633;43,14907;171,8;0,00;0,0
193;'10/01/2022 11:27:58;'052836011022;FIX;OK;68,0333633;43,14907;171,8;0,00;0,0
194;'10/01/2022 11:27:59;'052837011022;FIX;OK;68,0333633;43,14907;171,9;0,00;0,0
195;'10/01/2022 11:27:59;'052838011022;FIX;OK;68,0333633;43,14907;171,9;0,00;0,0
196;'10/01/2022 11:28:00;'052839011022;FIX;OK;68,0333633;43,14907;172,0;0,00;0,0
197;'10/01/2022 11:28:01;'052840011022;FIX;OK;68,0333633;43,14907;172,0;0,00;0,0
198;'10/01/2022 11:28:02;'052841011022;FIX;OK;68,0333633;43,14907;172,1;0,00;0,0
199;'10/01/2022 11:28:03;'052842011022;FIX;OK;68,0333633;43,14907;172,1;0,00;0,0
200;'10/01/2022 11:28:04;'052843011022;FIX;OK;68,0333633;43,14907;172,1;0,00;0,0
201;'10/01/2022 11:28:05;'052844011022;FIX;OK;68,0333633;43,14907;172,2;0,00;0,0
202;'10/01/2022 11:28:06;'052845011022;FIX;OK;68,0333633;43,14907;172,2;0,00;0,0
203;'10/01/2022 11:28:07;'052846011022;FIX;OK;68,0333633;43,14907;172,3;0,00;0,0
204;'10/01/2022 11:28:08;'052847011022;FIX;OK;68,0333633;43,14907;172,3;0,00;0,0
205;'10/01/2022 11:28:09;'052848011022;FIX;OK;68,0333633;43,14907;172,3;0,00;0,0
206;'10/01/2022 11:28:10;'052849011022;FIX;OK;68,0333633;43,14907;172,4;0,00;0,0
207;'10/01/2022 11:28:11;'052850011022;FIX;OK;68,0333633;43,14907;172,4;0,00;0,0
208;'10/01/2022 11:28:12;'052851011022;FIX;OK;68,0333633;43,14907;172,5;0,00;0,0
209;'10/01/2022 11:28:13;'052852011022;FIX;OK;68,0333633;43,14907;172,5;0,00;0,0
210;'10/01/2022 11:28:14;'052853011022;FIX;OK;68,0333633;43,14907;172,5;0,00;0,0
211;'10/01/2022 11:28:14;'052854011022;FIX;OK;68,0333633;43,14907;172,6;0,00;0,0
212;'10/01/2022 11:28:15;'052855011022;FIX;OK;68,0333633;43,14907;172,6;0,00;0,0
213;'10/01/2022 11:28:16;'052856011022;FIX;OK;68,0333633;43,14907;172,6;0,00;0,0
214;'10/01/2022 11:28:17;'052857011022;FIX;OK;68,0333633;43,14907;172,7;0,00;0,0
215;'10/01/2022 11:28:18;'052858011022;FIX;OK;68,0333633;43,14907;172,7;0,00;0,0
216;'10/01/2022 11:28:19;'052859011022;FIX;OK;68,0333633;43,14907;172,7;0,00;0,0
217;'10/01/2022 11:28:20;'052900011022;FIX;OK;68,0333633;43,14907;172,8;0,00;0,0
218;'10/01/2022 11:28:21;'052901011022;FIX;OK;68,0333633;43,14907;172,8;0,00;0,0
219;'10/01/2022 11:28:22;'052902011022;FIX;OK;68,0333633;43,14907;172,8;0,00;0,0
220;'10/01/2022 11:28:23;'052903011022;FIX;OK;68,0333633;43,14907;172,8;0,00;0,0
221;'10/01/2022 11:28:24;'052904011022;FIX;OK;68,0333633;43,14907;172,9;0,00;0,0
222;'10/01/2022 11:28:25;'052905011022;FIX;OK;68,0333633;43,14907;172,9;0,00;0,0
223;'10/01/2022 11:28:26;'052906011022;FIX;OK;68,0333633;43,14907;172,9;0,00;0,0
224;'10/01/2022 11:28:27;'052907011022;FIX;OK;68,0333633;43,14907;173,0;0,00;0,0
225;'10/01/2022 11:28:28;'052908011022;FIX;OK;68,0333633;43,14907;173,0;0,00;0,0
226;'10/01/2022 11:28:29;'052909011022;FIX;OK;68,0333633;43,14907;173,0;0,00;0,0
227;'10/01/2022 11:28:30;'052910011022;FIX;OK;68,0333633;43,14907;173,0;0,00;0,0
228;'10/01/2022 11:28:30;'052911011022;FIX;OK;68,0333633;43,14907;173,1;0,00;0,0
229;'10/01/2022 11:28:31;'052912011022;FIX;OK;68,0333633;43,14907;173,1;0,00;0,0
230;'10/01/2022 11:28:32;'052913011022;FIX;OK;68,0333633;43,14907;173,1;0,00;0,0
231;'10/01/2022 11:28:33;'052914011022;FIX;OK;68,0333633;43,14907;173,1;0,00;0,0
232;'10/01/2022 11:28:34;'052915011022;FIX;OK;68,0333633;43,14907;173,2;0,00;0,0
233;'10/01/2022 11:28:35;'052916011022;FIX;OK;68,0333633;43,14907;173,2;0,00;0,0
234;'10/01/2022 11:28:36;'052917011022;FIX;OK;68,0333633;43,14907;173,2;0,00;0,0
235;'10/01/2022 11:28:37;'052918011022;FIX;OK;68,0333633;43,14907;173,2;0,00;0,0
