

New start of logging. Datetime: 2022.10.01_112457 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'10/01/2022 11:54:53;12,5;20;877,3;13,2;9,1;47,6;-27,3;1005,8;-350,0;-25550,0;1470,0;3,1;5,2;-100,0;4,17;0,01
'10/01/2022 11:54:54;12,5;20;876,7;13,0;9,0;72,5;-26,4;1011,1;-26460,0;490,0;10570,0;3,0;4,6;-100,0;4,17;0,01
'10/01/2022 11:54:55;12,4;20;876,0;12,9;8,8;70,2;-40,4;1041,1;1400,0;21630,0;4130,0;3,0;4,6;-100,0;4,17;0,01
'10/01/2022 11:54:56;12,5;20;875,6;13,0;8,9;41,4;-29,5;1018,7;11550,0;-20230,0;-9380,0;5,1;5,7;-100,0;4,17;0,01
'10/01/2022 11:54:57;12,4;21;874,9;12,9;8,9;70,9;-30,1;951,7;-1540,0;22260,0;5670,0;5,1;5,7;-100,0;4,17;0,01
'10/01/2022 11:54:58;12,4;21;874,5;13,0;8,9;45,8;-31,7;986,4;5950,0;-13020,0;-13580,0;5,1;5,7;-100,0;4,17;0,01
'10/01/2022 11:54:59;12,4;21;874,0;13,0;8,9;61,8;-14,8;1016,7;-12670,0;-12670,0;-10570,0;5,1;5,6;-100,0;4,17;0,01
'10/01/2022 11:55:00;12,4;21;873,6;12,9;8,9;100,2;-23,9;1018,8;-15540,0;35630,0;3990,0;4,7;5,2;-100,0;4,17;0,01
'10/01/2022 11:55:01;12,4;21;873,2;12,9;8,8;56,2;-31,1;1039,4;14350,0;-26250,0;-3500,0;4,6;5,1;-100,0;4,17;0,01
'10/01/2022 11:55:02;12,3;21;872,4;12,9;8,8;68,4;-16,2;1036,7;-4830,0;-3710,0;-8680,0;4,6;5,1;-100,0;4,17;0,01
'10/01/2022 11:55:03;12,3;21;872,0;13,0;8,9;88,2;-11,8;994,3;2380,0;16590,0;-7980,0;4,5;5,0;-100,0;4,17;0,01
'10/01/2022 11:55:04;12,3;21;871,4;12,7;8,7;63,2;-23,2;1011,3;1610,0;-26040,0;490,0;4,5;5,0;-100,0;4,17;0,01
'10/01/2022 11:55:05;12,4;22;870,9;13,0;8,9;85,3;-28,9;1084,2;-10080,0;5390,0;350,0;4,5;5,0;-100,0;4,17;0,01
'10/01/2022 11:55:06;12,3;22;870,7;12,9;8,8;84,9;-24,3;1040,2;12810,0;3500,0;-7210,0;4,5;5,0;-100,0;4,17;0,01
'10/01/2022 11:55:06;12,3;22;869,8;12,9;8,8;93,3;-16,7;1018,6;-1330,0;8470,0;1750,0;4,2;4,6;-100,0;4,17;0,01
'10/01/2022 11:55:07;12,3;22;869,8;12,9;8,8;93,3;-16,7;1018,6;-1330,0;8470,0;1750,0;4,3;4,8;-100,0;4,17;0,01
'10/01/2022 11:55:08;12,3;22;869,3;12,9;8,9;86,6;-11,5;982,2;-19180,0;-9590,0;4970,0;4,3;4,8;-100,0;4,17;0,01
'10/01/2022 11:55:09;12,3;22;868,7;12,7;8,7;78,6;-20,5;975,0;-13300,0;-15820,0;5740,0;3,4;4,1;-100,0;4,17;0,01
'10/01/2022 11:55:10;12,2;22;868,2;12,5;8,5;79,2;-35,0;1065,5;-6160,0;7980,0;2590,0;3,4;4,1;-100,0;4,17;0,01
'10/01/2022 11:55:11;12,1;22;867,8;12,6;8,6;52,2;-28,9;1053,0;17290,0;-21420,0;-2380,0;3,4;4,1;-100,0;4,17;0,01
'10/01/2022 11:55:12;12,2;22;867,1;12,8;8,6;96,0;-15,3;996,7;-27720,0;36190,0;3990,0;3,4;4,1;-100,0;4,17;0,01
'10/01/2022 11:55:13;12,1;22;866,5;12,5;8,5;74,5;-29,5;1025,7;3360,0;-11550,0;2450,0;3,4;4,1;-100,0;4,17;0,01
'10/01/2022 11:55:32;12,2;22;866,0;12,6;8,6;79,3;-36,8;1044,5;28910,0;2520,0;-70,0;3,5;4,2;-100,0;4,17;0,01
'10/01/2022 11:55:33;12,1;22;865,6;12,7;8,6;62,8;-18,4;1071,2;-24150,0;-14140,0;1050,0;3,5;4,2;-100,0;4,17;0,01
'10/01/2022 11:55:34;12,1;22;864,8;12,7;8,6;89,7;-8,5;1042,0;-20370,0;21910,0;-1330,0;3,5;4,2;-100,0;4,17;0,01
'10/01/2022 11:55:35;12,1;22;864,0;12,6;8,5;53,3;-25,6;999,4;2940,0;-21280,0;9310,0;3,1;3,8;-100,0;4,17;0,01
'10/01/2022 11:55:36;12,0;22;863,7;12,4;8,4;50,8;-29,0;1019,9;-5600,0;-11690,0;1610,0;3,1;4,2;-100,0;4,17;0,01
'10/01/2022 11:55:37;11,9;22;863,1;12,5;8,4;96,4;-12,8;1011,0;4060,0;32970,0;-12810,0;3,1;4,3;-100,0;4,17;0,01
'10/01/2022 11:55:37;12,0;22;862,5;12,6;8,4;89,6;-20,9;1071,2;3220,0;3710,0;-2100,0;3,0;4,2;-100,0;4,17;0,01
'10/01/2022 11:55:38;12,0;22;862,0;12,6;8,5;83,5;-22,3;1063,5;-3710,0;-14420,0;12180,0;3,0;4,2;-100,0;4,17;0,01
'10/01/2022 11:55:39;12,0;22;861,4;12,7;8,5;79,4;-16,7;987,0;-14630,0;-6510,0;5740,0;3,0;4,1;-100,0;4,17;0,01
'10/01/2022 11:55:40;12,0;22;860,8;12,6;8,5;123,8;-11,5;1050,2;13650,0;47320,0;-11480,0;3,0;4,1;-100,0;4,17;0,01
'10/01/2022 11:55:41;12,0;22;860,2;12,6;8,6;65,3;-20,8;1062,7;9730,0;-32900,0;-1890,0;3,0;4,2;-100,0;4,17;0,01
'10/01/2022 11:55:42;12,0;22;859,6;12,6;8,6;94,7;-16,5;1017,4;4480,0;11060,0;5530,0;0,9;3,2;-100,0;4,17;0,01
'10/01/2022 11:55:43;12,0;22;858,8;12,7;8,5;99,1;-19,9;1069,5;-11200,0;3990,0;4900,0;0,9;3,2;-100,0;4,17;0,01
'10/01/2022 11:55:44;12,1;22;858,7;12,7;8,6;76,4;-34,4;1022,5;8610,0;-14210,0;5950,0;7,8;21,1;-100,0;4,17;0,01
'10/01/2022 11:55:45;12,1;22;857,5;12,6;8,5;80,8;-34,2;950,0;23170,0;9590,0;3290,0;7,8;21,0;-100,0;4,17;0,01
'10/01/2022 11:55:46;11,9;22;857,0;12,3;8,2;56,4;-44,0;968,9;28210,0;3710,0;-2660,0;7,7;21,0;-100,0;4,17;0,01
'10/01/2022 11:55:47;11,9;22;856,6;12,4;8,3;35,9;-19,0;1029,4;-45920,0;-43960,0;-770,0;7,7;21,0;-100,0;4,17;0,01
'10/01/2022 11:55:48;11,8;22;856,1;12,4;8,3;97,1;-15,7;1065,5;-3360,0;40040,0;-4970,0;8,1;21,2;-100,0;4,17;0,01
'10/01/2022 11:55:49;11,8;22;855,7;12,4;8,3;69,5;-19,4;1070,3;39410,0;-4480,0;-9450,0;8,1;21,2;-100,0;4,17;0,01
'10/01/2022 11:55:50;11,9;22;854,9;12,5;8,4;75,6;-8,8;1031,0;-16800,0;-7070,0;4480,0;8,1;21,2;-100,0;4,17;0,01
'10/01/2022 11:55:51;11,9;22;854,3;12,4;8,4;86,2;-4,3;1005,2;-22260,0;6090,0;-1750,0;8,1;21,1;-100,0;4,17;0,01
'10/01/2022 11:55:52;11,9;22;853,7;12,5;8,3;84,3;-11,5;980,6;8120,0;8890,0;-7420,0;8,1;21,2;-100,0;4,17;0,01
'10/01/2022 11:55:53;11,9;22;853,3;12,5;8,4;73,4;-9,6;1000,8;-70,0;-17360,0;-6300,0;8,1;21,1;-100,0;4,17;0,01
'10/01/2022 11:55:54;11,9;22;852,8;12,6;8,4;91,1;-12,4;1029,8;-13930,0;3010,0;-630,0;7,9;21,0;-100,0;4,17;0,01
'10/01/2022 11:55:54;12,0;22;852,3;12,6;8,5;97,1;-17,4;1027,6;11760,0;10010,0;-2170,0;8,0;21,1;-100,0;4,17;0,01
'10/01/2022 11:55:55;11,9;22;851,7;12,5;8,5;87,4;-16,4;1007,1;-840,0;-4900,0;-1400,0;8,0;20,9;-100,0;4,17;0,01
'10/01/2022 11:55:56;11,9;22;851,3;12,5;8,4;93,9;-11,8;1061,9;-14910,0;-4480,0;2310,0;8,0;20,9;-100,0;4,17;0,01
'10/01/2022 11:55:57;11,9;22;850,8;12,5;8,4;93,9;-18,6;1093,1;30520,0;4690,0;-4480,0;7,9;20,9;-100,0;4,17;0,01
'10/01/2022 11:55:58;11,9;22;850,0;12,5;8,5;74,6;-18,7;1034,3;9660,0;-9450,0;7280,0;7,9;20,8;-100,0;4,17;0,01
'10/01/2022 11:55:59;11,9;22;849,3;12,4;8,4;88,1;-5,0;994,1;-15610,0;14910,0;-280,0;7,9;20,8;-100,0;4,17;0,01
'10/01/2022 11:56:00;11,9;22;848,8;12,4;8,3;66,6;0,4;943,8;-23590,0;-4690,0;-6790,0;7,8;20,8;-100,0;4,17;0,01
'10/01/2022 11:56:01;11,8;22;848,4;12,3;8,3;58,4;-0,8;1010,0;-8680,0;-10780,0;-12530,0;7,8;20,7;-100,0;4,17;0,01
'10/01/2022 11:56:02;11,7;22;847,9;12,3;8,2;72,6;-4,1;1068,7;18270,0;7840,0;-8890,0;7,8;20,6;-100,0;4,17;0,01
'10/01/2022 11:56:03;11,8;22;847,3;12,3;8,3;70,7;-11,6;1046,9;8330,0;420,0;-1470,0;7,8;20,7;-100,0;4,17;0,01
'10/01/2022 11:56:04;11,8;22;846,7;12,3;8,2;62,4;-16,8;964,3;-4340,0;-2310,0;9100,0;7,8;20,2;-100,0;4,17;0,01
'10/01/2022 11:56:05;11,7;22;846,1;11,8;7,9;66,7;-28,9;993,6;-14140,0;-2170,0;9730,0;7,8;20,3;-100,0;4,17;0,01
'10/01/2022 11:56:06;11,6;22;845,8;11,8;7,8;70,5;-36,1;1004,0;10920,0;-420,0;5250,0;7,8;20,3;-100,0;4,17;0,01
'10/01/2022 11:56:07;11,5;22;845,2;11,8;7,8;73,0;-36,5;1005,6;18340,0;4060,0;3990,0;7,7;20,2;-100,0;4,17;0,01
'10/01/2022 11:56:08;11,4;22;844,8;11,5;7,5;63,5;-38,4;1016,6;-4410,0;-3500,0;6930,0;7,8;20,3;-100,0;4,16;0,01
'10/01/2022 11:56:09;11,4;22;844,2;11,4;7,4;75,6;-41,4;1052,3;4060,0;7350,0;2590,0;7,8;20,3;-100,0;4,17;0,01
'10/01/2022 11:56:10;11,2;22;843,8;11,4;7,3;59,6;-42,0;1080,7;-7560,0;-14280,0;7000,0;16,4;32,6;-100,0;4,17;0,01
'10/01/2022 11:56:10;11,2;22;843,1;11,6;7,5;87,8;-35,3;1030,7;17150,0;25830,0;2170,0;16,3;32,5;-100,0;4,17;0,01
'10/01/2022 11:56:11;11,1;22;842,5;11,4;7,3;47,6;-42,2;1040,4;-5250,0;-23240,0;11340,0;16,3;32,5;-100,0;4,17;0,01
'10/01/2022 11:56:12;11,0;22;841,8;11,4;7,3;66,6;-29,2;1022,5;-3010,0;8470,0;1610,0;16,3;32,5;-100,0;4,17;0,01
'10/01/2022 11:56:13;11,0;22;841,1;11,5;7,3;68,5;-24,5;1043,5;-8470,0;14560,0;-3850,0;9,4;14,5;-100,0;4,17;0,01
'10/01/2022 11:56:14;11,0;22;841,1;11,5;7,3;68,5;-24,5;1043,5;-8470,0;14560,0;-3850,0;9,4;14,5;-100,0;4,17;0,01
'10/01/2022 11:56:15;11,0;22;840,5;11,6;7,4;71,0;-22,3;1058,9;17150,0;-6440,0;1960,0;9,5;14,5;-100,0;4,17;0,01
'10/01/2022 11:56:16;11,0;23;839,8;11,6;7,4;82,0;-24,9;1005,2;-770,0;3640,0;12600,0;9,5;14,5;-100,0;4,17;0,01
'10/01/2022 11:56:17;10,9;23;839,1;11,3;7,2;58,1;-30,5;999,3;2170,0;-25340,0;5670,0;9,5;14,6;-100,0;4,17;0,01
'10/01/2022 11:56:18;10,8;23;838,4;11,2;7,0;70,9;-46,2;977,8;11970,0;24220,0;2450,0;9,5;14,6;-100,0;4,17;0,01
'10/01/2022 11:56:19;10,7;23;837,9;11,2;7,0;27,7;-20,4;966,1;-37520,0;-46060,0;-13930,0;9,6;18,8;-100,0;4,17;0,01
'10/01/2022 11:56:20;10,7;23;837,5;11,3;7,1;108,5;-7,3;962,6;9030,0;42280,0;-23240,0;9,6;18,8;-100,0;4,17;0,01
'10/01/2022 11:56:21;10,7;23;837,1;11,4;7,1;76,6;-10,1;1068,4;-3360,0;-10780,0;-7840,0;9,6;18,9;-100,0;4,17;0,01
'10/01/2022 11:56:22;10,8;23;836,7;11,5;7,2;101,4;-10,6;1107,9;-11060,0;-2380,0;-420,0;9,6;18,9;-100,0;4,17;0,01
'10/01/2022 11:56:23;10,8;23;836,1;11,4;7,2;108,2;-17,0;1074,4;22540,0;11970,0;2870,0;9,6;19,0;-100,0;4,17;0,01
'10/01/2022 11:56:24;10,7;23;835,5;11,3;7,1;85,6;-8,9;1024,5;5530,0;18410,0;-5250,0;9,6;18,9;-100,0;4,17;0,01
'10/01/2022 11:56:25;10,7;23;835,0;11,3;7,1;48,7;1,6;1021,0;-15820,0;-27720,0;-5740,0;9,6;18,9;-100,0;4,17;0,01
'10/01/2022 11:56:26;10,7;23;834,3;11,4;7,2;61,1;-1,4;1015,1;-2730,0;-2520,0;-5600,0;9,6;18,9;-100,0;4,17;0,01
'10/01/2022 11:56:26;10,7;23;833,6;11,4;7,2;60,9;-3,1;942,2;19600,0;14910,0;-7910,0;9,6;18,9;-100,0;4,17;0,01
'10/01/2022 11:56:27;10,7;24;833,2;11,4;7,2;67,6;2,6;910,6;22820,0;15400,0;-15890,0;9,6;18,9;-100,0;4,17;0,01
'10/01/2022 11:56:28;10,7;24;832,7;11,3;7,1;57,3;-0,4;974,1;17990,0;-15680,0;-17290,0;9,6;18,9;-100,0;4,17;0,01
'10/01/2022 11:56:29;10,7;24;832,3;11,4;7,2;85,0;-3,0;1068,7;-26740,0;6790,0;-1890,0;9,6;18,9;-100,0;4,17;0,01
'10/01/2022 11:56:30;10,7;24;832,2;11,5;7,2;74,4;-10,1;1100,0;-1680,0;-4620,0;-4550,0;9,6;18,9;-100,0;4,17;0,01
'10/01/2022 11:56:31;10,7;24;831,4;11,3;7,1;56,1;-12,1;1069,1;21980,0;-11970,0;-980,0;9,7;19,1;-100,0;4,17;0,01
'10/01/2022 11:56:32;10,6;24;830,9;11,3;7,0;69,8;-2,1;980,2;-26670,0;16590,0;5040,0;9,7;19,1;-100,0;4,17;0,01
'10/01/2022 11:56:33;10,6;24;830,2;11,3;7,0;51,7;3,6;1052,1;17080,0;-1260,0;-8400,0;9,7;19,0;-100,0;4,17;0,01
'10/01/2022 11:56:34;10,6;24;829,7;11,4;7,1;57,4;5,2;1001,1;140,0;2730,0;-2100,0;21,2;33,7;-100,0;4,17;0,01
'10/01/2022 11:56:35;10,6;24;829,3;11,4;7,1;67,1;-0,5;1068,6;-15330,0;1400,0;420,0;21,2;33,8;-100,0;4,17;0,01
'10/01/2022 11:56:36;10,5;24;828,7;11,2;6,9;62,9;-6,8;1079,0;16100,0;6090,0;-4690,0;21,2;33,9;-100,0;4,17;0,01
'10/01/2022 11:56:37;10,6;24;828,2;11,4;7,1;77,8;-18,1;1048,8;8680,0;4830,0;12180,0;21,3;33,9;-100,0;4,16;0,01
'10/01/2022 11:56:38;10,6;24;827,6;11,4;7,1;39,7;-24,0;966,7;20160,0;-30380,0;19740,0;12,7;21,6;-100,0;4,16;0,01
'10/01/2022 11:56:39;10,5;24;827,0;10,9;6,7;59,0;-32,6;924,8;-5320,0;8330,0;11900,0;12,7;21,6;-100,0;4,16;0,01
'10/01/2022 11:56:40;10,5;24;826,6;10,8;6,6;89,4;-39,2;997,4;20930,0;30380,0;-1260,0;12,7;21,6;-100,0;4,16;0,01
'10/01/2022 11:56:41;10,4;24;826,2;11,1;6,8;57,5;-37,9;1099,3;-4200,0;-28350,0;3080,0;12,7;21,7;-100,0;4,16;0,01
'10/01/2022 11:56:42;10,5;24;824,5;11,0;6,7;70,5;-17,2;1118,2;-51100,0;-1120,0;4760,0;12,7;21,7;-100,0;4,17;0,01
'10/01/2022 11:56:42;10,4;24;824,9;11,0;6,8;66,1;-13,4;1058,7;26670,0;5390,0;-9800,0;12,7;21,7;-100,0;4,16;0,01
'10/01/2022 11:56:43;10,4;25;824,4;10,9;6,7;76,2;-21,7;1021,7;8540,0;7420,0;11620,0;12,7;21,7;-100,0;4,16;0,01
'10/01/2022 11:56:44;10,3;25;823,8;10,6;6,4;59,2;-26,8;927,1;-9310,0;-14070,0;13230,0;12,7;21,7;-100,0;4,16;0,01
'10/01/2022 11:56:45;10,2;25;823,4;10,5;6,3;109,7;-33,0;1032,4;-3640,0;42840,0;1120,0;12,4;21,5;-100,0;4,16;0,01
'10/01/2022 11:56:46;10,2;25;823,0;10,7;6,4;67,3;-35,0;1069,3;-70,0;-7910,0;5250,0;12,6;21,6;-100,0;4,16;0,01
'10/01/2022 11:56:47;10,2;25;822,3;10,8;6,5;63,1;-18,3;1070,7;-4130,0;-20790,0;910,0;12,5;17,4;-100,0;4,16;0,01
'10/01/2022 11:56:48;10,2;25;821,7;10,8;6,5;71,9;-11,3;982,8;-20370,0;3360,0;4690,0;12,5;17,6;-100,0;4,16;0,01
'10/01/2022 11:56:49;10,1;25;821,1;10,8;6,4;71,7;-7,9;976,1;17990,0;14490,0;-13930,0;12,5;17,5;-100,0;4,16;0,01
'10/01/2022 11:56:50;10,1;25;820,5;10,8;6,4;44,7;-1,2;1008,0;29750,0;-23450,0;-14840,0;12,5;17,5;-100,0;4,16;0,01
'10/01/2022 11:56:51;10,1;25;820,0;11,0;6,6;71,7;-1,6;1001,7;-1260,0;6650,0;-5460,0;12,5;17,4;-100,0;4,16;0,01
'10/01/2022 11:56:52;10,3;25;819,5;11,2;6,8;64,5;3,6;956,3;-25550,0;9100,0;-1750,0;12,5;17,3;-100,0;4,16;0,01
'10/01/2022 11:56:53;10,1;26;819,0;10,9;6,6;55,6;8,7;1021,2;-22260,0;-10920,0;-10080,0;12,5;17,4;-100,0;4,16;0,01
'10/01/2022 11:56:54;10,1;26;818,5;10,9;6,6;58,4;5,0;1030,0;13650,0;-3010,0;-12600,0;12,5;17,3;-100,0;4,16;0,01
'10/01/2022 11:56:55;10,1;26;818,0;10,9;6,6;78,5;0,9;1005,2;9800,0;20090,0;-7630,0;12,5;17,3;-100,0;4,16;0,01
'10/01/2022 11:56:56;10,1;26;817,5;10,8;6,5;45,9;3,6;1036,3;980,0;-19390,0;-7980,0;12,5;17,5;-100,0;4,16;0,01
'10/01/2022 11:56:57;10,0;26;817,2;10,7;6,4;53,7;0,5;1009,6;-4830,0;-3080,0;-3010,0;12,5;17,5;-100,0;4,16;0,01
'10/01/2022 11:56:58;10,0;26;816,7;10,7;6,4;54,2;-4,2;1043,9;-6370,0;-1260,0;-910,0;12,5;17,4;-100,0;4,16;0,01
'10/01/2022 11:56:58;9,9;26;816,1;10,6;6,2;61,8;-9,7;1085,8;5390,0;13160,0;420,0;12,6;17,5;-100,0;4,16;0,01
'10/01/2022 11:56:59;10,0;26;815,5;10,9;6,5;62,9;-18,3;1064,8;-4340,0;-6790,0;13860,0;14,7;18,4;-100,0;4,16;0,01
'10/01/2022 11:57:00;10,1;26;814,8;10,9;6,5;56,7;-19,3;1029,9;13300,0;-11480,0;8400,0;14,7;18,5;-100,0;4,16;0,01
'10/01/2022 11:57:01;10,0;26;814,2;10,8;6,4;67,3;-21,4;1026,1;910,0;19740,0;12460,0;14,7;18,5;-100,0;4,16;0,01
'10/01/2022 11:57:02;10,0;26;813,8;10,8;6,5;52,5;-23,5;977,6;8190,0;-1190,0;9870,0;3,2;3,7;-100,0;4,16;0,01
'10/01/2022 11:57:03;10,0;26;813,8;10,8;6,5;52,5;-23,5;977,6;8190,0;-1190,0;9870,0;3,1;3,6;-100,0;4,16;0,01
'10/01/2022 11:57:04;10,1;26;813,0;11,2;6,7;34,8;-13,0;918,3;-14700,0;-17430,0;2240,0;3,1;3,6;-100,0;4,16;0,01
'10/01/2022 11:57:05;10,1;27;811,4;10,9;6,4;56,7;5,0;993,9;-3920,0;17850,0;-7770,0;3,1;3,5;-100,0;4,15;0,01
'10/01/2022 11:57:06;9,9;27;812,2;10,9;6,4;60,3;1,0;1030,8;16450,0;8680,0;-9380,0;3,1;3,5;-100,0;4,16;0,01
'10/01/2022 11:57:07;10,0;27;811,7;10,9;6,5;55,3;-7,4;1082,9;-17010,0;-21770,0;-3850,0;3,1;3,5;-100,0;4,16;0,01
'10/01/2022 11:57:08;10,0;27;811,4;10,9;6,5;51,0;-10,7;1097,6;11340,0;-11200,0;-4200,0;3,1;3,5;-100,0;4,16;0,01
'10/01/2022 11:57:09;10,0;27;810,6;10,9;6,4;75,2;-9,8;1035,5;980,0;25340,0;0,0;3,0;3,4;-100,0;4,16;0,01
'10/01/2022 11:57:10;10,0;27;809,9;10,9;6,5;75,8;-13,8;1067,3;700,0;3780,0;7350,0;3,1;3,4;-100,0;4,16;0,01
'10/01/2022 11:57:11;10,1;27;809,4;10,9;6,5;63,7;-20,2;1039,0;16310,0;-17570,0;2870,0;3,1;3,4;-100,0;4,16;0,01
'10/01/2022 11:57:12;10,1;27;808,9;10,5;6,2;55,6;-31,0;1008,4;4200,0;-7350,0;15960,0;3,1;3,4;-100,0;4,16;0,01
'10/01/2022 11:57:13;9,9;27;808,3;10,3;6,0;67,8;-30,3;1032,5;-38080,0;14980,0;12460,0;3,1;3,4;-100,0;4,16;0,01
'10/01/2022 11:57:14;9,9;27;807,8;10,5;6,1;64,5;-32,9;1047,9;23100,0;-2030,0;1820,0;3,0;3,4;-100,0;4,16;0,01
'10/01/2022 11:57:15;9,8;27;807,2;10,7;6,3;42,6;-27,4;998,7;3080,0;-11130,0;3990,0;2,7;3,2;-100,0;4,16;0,01
'10/01/2022 11:57:15;9,8;27;805,6;10,6;6,2;63,7;-6,5;943,5;5740,0;20720,0;-9240,0;2,8;3,2;-100,0;4,16;0,01
'10/01/2022 11:57:16;9,8;27;806,3;10,5;6,1;51,2;-7,8;996,6;12250,0;-13090,0;-15470,0;2,8;3,1;-100,0;4,16;0,01
'10/01/2022 11:57:17;9,8;27;805,8;10,5;6,1;54,0;-10,9;1045,9;-4550,0;-11410,0;-6440,0;2,8;3,1;-100,0;4,16;0,01
'10/01/2022 11:57:18;9,7;27;805,4;10,5;6,1;75,9;-10,5;1039,6;1050,0;16310,0;-2660,0;2,8;3,1;-100,0;4,16;0,01
'10/01/2022 11:57:19;9,8;28;804,9;10,5;6,2;79,2;-17,3;1039,4;4970,0;3150,0;-1820,0;2,8;3,1;-100,0;4,15;0,01
'10/01/2022 11:57:20;9,7;28;804,4;10,4;6,0;74,8;-23,2;1030,3;-5810,0;-4410,0;3710,0;2,8;3,2;-100,0;4,16;0,01
'10/01/2022 11:57:21;9,7;28;803,9;10,3;6,0;65,8;-30,6;1026,3;11060,0;-14280,0;10990,0;2,8;3,2;-100,0;4,16;0,01
'10/01/2022 11:57:22;9,6;28;803,4;10,1;5,8;73,1;-29,8;1015,5;-12880,0;2590,0;9520,0;2,9;3,3;-100,0;4,16;0,01
'10/01/2022 11:57:23;9,5;28;802,9;10,1;5,7;60,1;-24,8;1000,0;-8120,0;-2170,0;5250,0;3,1;3,5;-100,0;4,16;0,01
'10/01/2022 11:57:24;9,4;28;802,4;10,1;5,7;63,9;-13,4;988,5;10920,0;7490,0;-8610,0;3,0;3,4;-100,0;4,16;0,01
'10/01/2022 11:57:25;9,4;28;801,9;10,1;5,8;66,9;-10,6;1016,7;11200,0;-3150,0;-9310,0;3,1;3,5;-100,0;4,16;0,01
'10/01/2022 11:57:26;9,5;28;801,4;10,2;5,9;79,5;-16,5;1028,8;-14070,0;5250,0;4760,0;3,1;3,7;-100,0;4,16;0,01
'10/01/2022 11:57:27;9,4;28;800,8;9,9;5,7;72,9;-24,2;990,4;-8470,0;490,0;8890,0;3,1;3,7;-100,0;4,16;0,01
'10/01/2022 11:57:28;9,3;28;800,4;9,9;5,5;50,4;-33,4;1064,3;16520,0;-26600,0;-2870,0;1,0;2,7;-100,0;4,16;0,01
'10/01/2022 11:57:29;9,2;28;800,0;9,8;5,4;85,0;-25,0;1068,1;26110,0;26180,0;-7420,0;1,1;2,7;-100,0;4,16;0,01
'10/01/2022 11:57:30;9,2;28;799,1;10,0;5,5;70,1;-20,5;1059,9;-6230,0;3500,0;11970,0;1,1;2,8;-100,0;4,16;0,01
'10/01/2022 11:57:31;9,2;28;798,5;10,0;5,6;62,8;-20,1;1052,5;-1260,0;-9030,0;11900,0;1,2;2,9;-100,0;4,16;0,01
'10/01/2022 11:57:31;9,2;28;797,7;9,9;5,5;58,3;-9,7;956,8;25270,0;-4550,0;13020,0;1,3;3,0;-100,0;4,16;0,01
'10/01/2022 11:57:32;9,1;29;797,2;9,9;5,4;113,9;-4,0;989,4;11830,0;62160,0;-15960,0;1,4;3,1;-100,0;4,16;0,01
'10/01/2022 11:57:33;9,0;29;796,7;9,8;5,5;67,3;-12,9;1080,9;-9240,0;-55370,0;-5880,0;1,6;3,3;-100,0;4,16;0,01
'10/01/2022 11:57:34;9,3;29;796,1;10,2;5,7;113,1;-21,0;1000,9;-5390,0;28980,0;8540,0;1,8;3,4;-100,0;4,16;0,01
'10/01/2022 11:57:35;9,1;29;795,6;9,5;5,3;71,5;-36,8;1053,9;11760,0;-22540,0;3290,0;1,9;3,5;-100,0;4,16;0,01
'10/01/2022 11:57:36;9,0;29;795,2;9,6;5,2;108,1;-34,5;1048,9;-4620,0;39130,0;-1400,0;2,2;3,7;-100,0;4,16;0,01
'10/01/2022 11:57:37;9,0;29;794,6;9,7;5,3;54,0;-30,0;1058,7;-21140,0;-38500,0;-2450,0;2,4;3,8;-100,0;4,16;0,01
'10/01/2022 11:57:38;9,0;29;793,9;9,7;5,3;105,7;-16,5;1082,3;13580,0;20020,0;-490,0;2,6;3,9;-100,0;4,16;0,01
'10/01/2022 11:57:39;9,0;29;793,2;9,7;5,3;70,8;-19,1;991,4;-2940,0;-18060,0;5810,0;2,8;4,1;-100,0;4,16;0,01
'10/01/2022 11:57:40;8,9;29;792,5;9,6;5,2;121,3;-15,9;1015,6;-2730,0;27090,0;-4760,0;3,2;4,3;-100,0;4,16;0,01
'10/01/2022 11:57:41;8,8;29;792,1;9,1;4,8;78,6;-35,1;1008,1;-10360,0;-25970,0;1050,0;3,4;4,4;-100,0;4,16;0,01
'10/01/2022 11:57:42;8,7;29;791,6;9,2;4,8;95,1;-26,3;1001,7;-30450,0;-1610,0;5320,0;3,8;4,6;-100,0;4,16;0,01
'10/01/2022 11:57:43;8,7;29;791,0;9,1;4,7;84,5;-32,6;994,5;7910,0;12880,0;-2870,0;4,0;4,8;-100,0;4,16;0,01
'10/01/2022 11:57:44;8,6;29;790,5;9,2;4,8;65,2;-14,2;964,2;11340,0;-14840,0;-10640,0;4,4;4,9;-100,0;4,16;0,01
'10/01/2022 11:57:45;8,5;29;790,1;9,3;4,8;85,9;-2,4;1015,7;-6720,0;6370,0;-10500,0;4,5;5,0;-100,0;4,16;0,01
'10/01/2022 11:57:46;8,5;29;789,5;9,2;4,8;94,2;3,0;1033,9;-7140,0;12250,0;-11340,0;4,8;5,3;-100,0;4,16;0,01
'10/01/2022 11:57:47;8,5;29;789,1;9,3;4,8;60,3;-2,5;1034,1;-13370,0;-19390,0;-8050,0;5,1;5,7;-100,0;4,16;0,01
